ax:320	ay:3372	ax:15796	gx:54	gy:-191	gz:-112
12:04:02.677 -> a/g:	ax:-168	ay:3000	ax:15324	gx:56	gy:-112	gz:-169
12:04:02.677 -> a/g:	ax:-52	ay:3300	ax:15152	gx:94	gy:22	gz:-152
12:04:02.677 -> a/g:	ax:156	ay:3176	ax:15380	gx:39	gy:32	gz:-161
12:04:02.711 -> a/g:	ax:124	ay:3420	ax:15496	gx:48	gy:-27	gz:-143
12:04:02.711 -> a/g:	ax:100	ay:3452	ax:15096	gx:46	gy:17	gz:-153
12:04:02.744 -> a/g:	ax:184	ay:3448	ax:15776	gx:41	gy:195	gz:-129
12:04:02.744 -> a/g:	ax:268	ay:3420	ax:15200	gx:61	gy:-131	gz:-116
12:04:02.744 -> a/g:	ax:40	ay:3720	ax:15496	gx:17	gy:158	gz:-130
12:04:02.778 -> a/g:	ax:380	ay:3420	ax:15600	gx:28	gy:60	gz:-139
12:04:02.778 -> a/g:	ax:180	ay:3408	ax:15540	gx:33	gy:203	gz:-178
12:04:02.812 -> a/g:	ax:244	ay:3332	ax:15472	gx:-10	gy:66	gz:-175
12:04:02.812 -> a/g:	ax:4	ay:3380	ax:15840	gx:-12	gy:170	gz:-192
12:04:02.812 -> a/g:	ax:168	ay:3356	ax:15488	gx:54	gy:97	gz:-167
12:04:02.846 -> a/g:	ax:152	ay:3276	ax:15644	gx:-8	gy:269	gz:-149
12:04:02.846 -> a/g:	ax:64	ay:3268	ax:15580	gx:-5	gy:24	gz:-171
12:04:02.884 -> a/g:	ax:-24	ay:3248	ax:15412	gx:-3	gy:193	gz:-162
12:04:02.884 -> a/g:	ax:-16	ay:2984	ax:15512	gx:-9	gy:169	gz:-168
12:04:02.884 -> a/g:	ax:36	ay:3168	ax:15304	gx:-14	gy:59	gz:-173
12:04:02.918 -> a/g:	ax:-80	ay:3036	ax:15556	gx:-2	gy:195	gz:-234
12:04:02.918 -> a/g:	ax:-88	ay:3100	ax:15504	gx:-18	gy:133	gz:-209
12:04:02.918 -> a/g:	ax:-212	ay:3172	ax:15364	gx:11	gy:22	gz:-184
12:04:02.952 -> a/g:	ax:-28	ay:3268	ax:15492	gx:-10	gy:230	gz:-188
12:04:02.952 -> a/g:	ax:-124	ay:3156	ax:15412	gx:9	gy:-21	gz:-150
12:04:02.952 -> a/g:	ax:-176	ay:3256	ax:15148	gx:31	gy:114	gz:-166
12:04:02.990 -> a/g:	ax:-24	ay:3388	ax:15652	gx:-8	gy:244	gz:-194
12:04:02.990 -> a/g:	ax:-324	ay:3376	ax:15328	gx:50	gy:-95	gz:-168
12:04:03.024 -> a/g:	ax:-364	ay:3460	ax:15336	gx:74	gy:174	gz:-217
